"Release.Year","Release.Number","X..PIT","PIT.Ratio.Non.Tag.Tag","Observed.Minijacks","Expanded.Minijacksa","Minijack.Rate...."
2024,,,,,,
2023,,,,,,
2022,1325770,21929,60,,,
2021,1288815,19964,65,,,
2020,1300817,19952,65,,,
2019,1248910,19603,64,,,
2018,1252307,19713,64,13,826,0.07
2017,1131913,20158,60,2,120,0.01
2016,945277,19957,53,2,106,0.01
2015,1139567,14994,76,4,306,0.03
2014,1239025,13380,93,13,1206,0.1
2013,1289293,14951,87,13,1127,0.09
2012,1186622,14901,80,9,718,0.06
2011,1189400,14875,83,9,751,0.06
2010,1284653,14948,86,41,3533,0.28
2009,1685038,14931,113,21,2370,0.14
2008,1539668,15968,96,36,3471,0.23
2007,1177568,14969,79,15,1180,0.1
2006,1005505,14700,68,2,137,0.01
2005,1476046,14825,100,1,100,0.01
